Uniprot,Protein Symbol,Article Count,Interactions,GO Score,GO Terms
O43795,MYO1B,86,11,-1,"['GO:0015629', 'GO:0005884', 'GO:0045177', 'GO:0005903', 'GO:0071944', 'GO:0005737', 'GO:0005769', 'GO:0010008', 'GO:0070062', 'GO:0030175', 'GO:0005902', 'GO:0016459', 'GO:0048471', 'GO:0005886', 'GO:0051015', 'GO:0005524', 'GO:0045296', 'GO:0005516', 'GO:0000146', 'GO:0005547', 'GO:0005546', 'GO:0051017', 'GO:0007015', 'GO:0030048', 'GO:0006897', 'GO:0006892']"
O43854,EDIL3,191,1,0,"['GO:0062023', 'GO:0070062', 'GO:1903561', 'GO:0005509', 'GO:0005178', 'GO:0007155', 'GO:0010811']"
O43897,TLL1,105,1,0,"['GO:0005576', 'GO:0005615', 'GO:0005509', 'GO:0004222', 'GO:0004252', 'GO:0008270', 'GO:0030154', 'GO:0030199', 'GO:0009953', 'GO:0016485', 'GO:0001501']"
O43933,PEX1,268,3,0,"['GO:0005737', 'GO:0005829', 'GO:0070062', 'GO:0005778', 'GO:0005777', 'GO:0005524', 'GO:0016887', 'GO:0140318', 'GO:0044877', 'GO:0140036', 'GO:0060152', 'GO:0007031', 'GO:0016558', 'GO:0016562', 'GO:0006625', 'GO:0043335']"
O60313,OPA1,2158,1,0,"['GO:1904115', 'GO:0005737', 'GO:0005829', 'GO:0030425', 'GO:0016020', 'GO:0005874', 'GO:0030061', 'GO:0005743', 'GO:0005758', 'GO:0031966', 'GO:0005741', 'GO:0005739', 'GO:0005654', 'GO:1901612', 'GO:0005525', 'GO:0003924', 'GO:0140523', 'GO:0000287', 'GO:0180020', 'GO:0008017', 'GO:0070300', 'GO:0006915', 'GO:0019896', 'GO:0090398', 'GO:0042407', 'GO:0046039', 'GO:0007007', 'GO:0097749', 'GO:0000266', 'GO:0008053', 'GO:0000002', 'GO:1990627', 'GO:0007005', 'GO:0043066', 'GO:1902236', 'GO:0090201', 'GO:0001843', 'GO:0032740', 'GO:2000330', 'GO:0051259', 'GO:0007601']"
O60669,SLC16A7,204,1,0,"['GO:0016323', 'GO:0005829', 'GO:0098978', 'GO:0098686', 'GO:0005654', 'GO:0098688', 'GO:0005886', 'GO:0098839', 'GO:0098685', 'GO:0042802', 'GO:0015129', 'GO:0005477', 'GO:0050833', 'GO:0015293', 'GO:0035873', 'GO:0035879', 'GO:1901475', 'GO:0150104']"
O60814,H2BC12,3,19,1,"['GO:0005829', 'GO:0005615', 'GO:0005654', 'GO:0000786', 'GO:0005634', 'GO:0003677', 'GO:0046982', 'GO:0030527', 'GO:0019731', 'GO:0061844', 'GO:0050829', 'GO:0050830', 'GO:0002227', 'GO:0031640']"
O60828,PQBP1,131,1,2,"['GO:0005737', 'GO:0010494', 'GO:0071598', 'GO:0016604', 'GO:0016607', 'GO:0005654', 'GO:0005634', 'GO:0003677', 'GO:0003690', 'GO:0043021', 'GO:0003713', 'GO:0002218', 'GO:0000380', 'GO:0071360', 'GO:0051607', 'GO:0045087', 'GO:0031175', 'GO:0002230', 'GO:0032481', 'GO:0048814', 'GO:0006355', 'GO:0043484']"
O75044,SRGAP2,83,6,0,"['GO:0005737', 'GO:0005829', 'GO:0044327', 'GO:0030027', 'GO:0005634', 'GO:0045335', 'GO:0005886', 'GO:0014069', 'GO:0045211', 'GO:0005096', 'GO:0042802', 'GO:0042803', 'GO:0031267', 'GO:0051014', 'GO:0060996', 'GO:1904861', 'GO:0021816', 'GO:0046847', 'GO:1904862', 'GO:0003363', 'GO:0030336', 'GO:2001223', 'GO:0048812', 'GO:0043547', 'GO:0051056', 'GO:0007165', 'GO:0034446']"
O75150,RNF40,93,3,1,"['GO:0033503', 'GO:0016020', 'GO:0043005', 'GO:0005654', 'GO:0005634', 'GO:0000151', 'GO:0046872', 'GO:0003730', 'GO:0042803', 'GO:0061630', 'GO:0031625', 'GO:0006325', 'GO:0045944', 'GO:0016567', 'GO:0006511']"
